treat,re78,age,education,black,hispanic,married,nodegree,re75,Prior Unemployment Duration
1.0,9930.0458984375,37.0,11.0,1.0,0.0,1.0,1.0,0.0,2.888617052181916
1.0,3595.89404296875,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.6757332590788404
1.0,24909.44921875,30.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0671009204893003
1.0,7506.14599609375,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.23439445032225667
1.0,289.7898864746094,33.0,8.0,1.0,0.0,0.0,1.0,0.0,1.220360525418751
1.0,4056.493896484375,22.0,9.0,1.0,0.0,0.0,1.0,0.0,1.03329644806899
1.0,0.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.7476275617995176
1.0,8472.158203125,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.9743019687266077
1.0,2164.02197265625,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.6420667686756351
1.0,12418.0703125,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.7656990110672346
1.0,8173.908203125,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.40595030620575406
1.0,17094.640625,21.0,13.0,1.0,0.0,0.0,0.0,0.0,2.8345840654160566
1.0,0.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,2.40340624666709
1.0,18739.9296875,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.323181461547345
1.0,3023.87890625,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.7392094232789077
1.0,3228.5029296875,19.0,10.0,1.0,0.0,0.0,1.0,0.0,2.512080579166878
1.0,14581.8603515625,27.0,13.0,1.0,0.0,0.0,0.0,0.0,2.1625332684639416
1.0,7693.39990234375,23.0,10.0,1.0,0.0,0.0,1.0,0.0,1.481933268461672
1.0,10804.3203125,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.2583712655400788
1.0,10747.349609375,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.44171912381216144
1.0,0.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,2.87433793520296
1.0,5149.5009765625,41.0,14.0,0.0,0.0,0.0,0.0,0.0,1.2240655262247013
1.0,6408.9501953125,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.36397365039643065
1.0,1991.4000244140625,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.8361956657877687
